PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Kepala Djenggot Tea,,,,,,,
,https://www.google.com/maps/place/Kepala+Djenggot+Tea+Bistro+JCM/data=!4m7!3m6!1s0x2e7a58f6762b73dd:0x2f5a9540da9e26e2!8m2!3d-7.7533945!4d110.3606889!16s%2Fg%2F11hd8l25t5!19sChIJ3XMrdvZYei4R4iae2kCVWi8?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,3 tahun lalu,Rahajeng Anindyajati,Local Guide,157 ulasan,"Pas ke sini beberapa hari lalu, teh jasmine nya enak, manisnya pas tapi kadang esnya kurang banyak jadi kurang dingin. Solusinya kalau mau tehnya dingin, special request pas order minta esnya dibanyakin. Terakhir kali ke sini niatnya mau order 2 puffy, tapi sisa 1 porsi jadinya pesan 1 puffy dan 1 kentang lidi. Puffynya enak seperti biasanya. Buat kentang lidinya enak, garing, porsi pas untuk harganya (Rp8.000). Pas order kentang lidi ditawarin 3 rasa, salah satunya BBQ. Rasa BBQnya kurang terasa tapi tetap cocok sama kentangnya.",4
,,3 tahun lalu,Rahajeng Anindyajati,Local Guide,157 ulasan,"Pas ke sini beberapa hari lalu, teh jasmine nya enak, manisnya pas tapi kadang esnya kurang banyak jadi kurang dingin. Solusinya kalau mau tehnya dingin, special request pas order minta esnya dibanyakin. Terakhir kali ke sini niatnya mau order 2 puffy, tapi sisa 1 porsi jadinya pesan 1 puffy dan 1 kentang lidi. Puffynya enak seperti biasanya. Buat kentang lidinya enak, garing, porsi pas untuk harganya (Rp8.000). Pas order kentang lidi ditawarin 3 rasa, salah satunya BBQ. Rasa BBQnya kurang terasa tapi tetap cocok sama kentangnya.",4
,,3 tahun lalu,Rahajeng Anindyajati,Local Guide,157 ulasan,"Pas ke sini beberapa hari lalu, teh jasmine nya enak, manisnya pas tapi kadang esnya kurang banyak jadi kurang dingin. Solusinya kalau mau tehnya dingin, special request pas order minta esnya dibanyakin. Terakhir kali ke sini niatnya mau order 2 puffy, tapi sisa 1 porsi jadinya pesan 1 puffy dan 1 kentang lidi. Puffynya enak seperti biasanya. Buat kentang lidinya enak, garing, porsi pas untuk harganya (Rp8.000). Pas order kentang lidi ditawarin 3 rasa, salah satunya BBQ. Rasa BBQnya kurang terasa tapi tetap cocok sama kentangnya.",4
,,3 tahun lalu,Rahajeng Anindyajati,Local Guide,157 ulasan,"Pas ke sini beberapa hari lalu, teh jasmine nya enak, manisnya pas tapi kadang esnya kurang banyak jadi kurang dingin. Solusinya kalau mau tehnya dingin, special request pas order minta esnya dibanyakin. Terakhir kali ke sini niatnya mau order 2 puffy, tapi sisa 1 porsi jadinya pesan 1 puffy dan 1 kentang lidi. Puffynya enak seperti biasanya. Buat kentang lidinya enak, garing, porsi pas untuk harganya (Rp8.000). Pas order kentang lidi ditawarin 3 rasa, salah satunya BBQ. Rasa BBQnya kurang terasa tapi tetap cocok sama kentangnya.",4
,,3 tahun lalu,Rahajeng Anindyajati,Local Guide,157 ulasan,"Pas ke sini beberapa hari lalu, teh jasmine nya enak, manisnya pas tapi kadang esnya kurang banyak jadi kurang dingin. Solusinya kalau mau tehnya dingin, special request pas order minta esnya dibanyakin. Terakhir kali ke sini niatnya mau order 2 puffy, tapi sisa 1 porsi jadinya pesan 1 puffy dan 1 kentang lidi. Puffynya enak seperti biasanya. Buat kentang lidinya enak, garing, porsi pas untuk harganya (Rp8.000). Pas order kentang lidi ditawarin 3 rasa, salah satunya BBQ. Rasa BBQnya kurang terasa tapi tetap cocok sama kentangnya.",4
,,3 tahun lalu,Rahajeng Anindyajati,Local Guide,157 ulasan,"Pas ke sini beberapa hari lalu, teh jasmine nya enak, manisnya pas tapi kadang esnya kurang banyak jadi kurang dingin. Solusinya kalau mau tehnya dingin, special request pas order minta esnya dibanyakin. Terakhir kali ke sini niatnya mau order 2 puffy, tapi sisa 1 porsi jadinya pesan 1 puffy dan 1 kentang lidi. Puffynya enak seperti biasanya. Buat kentang lidinya enak, garing, porsi pas untuk harganya (Rp8.000). Pas order kentang lidi ditawarin 3 rasa, salah satunya BBQ. Rasa BBQnya kurang terasa tapi tetap cocok sama kentangnya.",4
,,3 tahun lalu,Rahajeng Anindyajati,Local Guide,157 ulasan,"Pas ke sini beberapa hari lalu, teh jasmine nya enak, manisnya pas tapi kadang esnya kurang banyak jadi kurang dingin. Solusinya kalau mau tehnya dingin, special request pas order minta esnya dibanyakin. Terakhir kali ke sini niatnya mau order 2 puffy, tapi sisa 1 porsi jadinya pesan 1 puffy dan 1 kentang lidi. Puffynya enak seperti biasanya. Buat kentang lidinya enak, garing, porsi pas untuk harganya (Rp8.000). Pas order kentang lidi ditawarin 3 rasa, salah satunya BBQ. Rasa BBQnya kurang terasa tapi tetap cocok sama kentangnya.",4
,,3 tahun lalu,Rahajeng Anindyajati,Local Guide,157 ulasan,"Pas ke sini beberapa hari lalu, teh jasmine nya enak, manisnya pas tapi kadang esnya kurang banyak jadi kurang dingin. Solusinya kalau mau tehnya dingin, special request pas order minta esnya dibanyakin. Terakhir kali ke sini niatnya mau order 2 puffy, tapi sisa 1 porsi jadinya pesan 1 puffy dan 1 kentang lidi. Puffynya enak seperti biasanya. Buat kentang lidinya enak, garing, porsi pas untuk harganya (Rp8.000). Pas order kentang lidi ditawarin 3 rasa, salah satunya BBQ. Rasa BBQnya kurang terasa tapi tetap cocok sama kentangnya.",4
,,3 tahun lalu,Rahajeng Anindyajati,Local Guide,157 ulasan,"Pas ke sini beberapa hari lalu, teh jasmine nya enak, manisnya pas tapi kadang esnya kurang banyak jadi kurang dingin. Solusinya kalau mau tehnya dingin, special request pas order minta esnya dibanyakin. Terakhir kali ke sini niatnya mau order 2 puffy, tapi sisa 1 porsi jadinya pesan 1 puffy dan 1 kentang lidi. Puffynya enak seperti biasanya. Buat kentang lidinya enak, garing, porsi pas untuk harganya (Rp8.000). Pas order kentang lidi ditawarin 3 rasa, salah satunya BBQ. Rasa BBQnya kurang terasa tapi tetap cocok sama kentangnya.",4
,,3 tahun lalu,Rahajeng Anindyajati,Local Guide,157 ulasan,"Pas ke sini beberapa hari lalu, teh jasmine nya enak, manisnya pas tapi kadang esnya kurang banyak jadi kurang dingin. Solusinya kalau mau tehnya dingin, special request pas order minta esnya dibanyakin. Terakhir kali ke sini niatnya mau order 2 puffy, tapi sisa 1 porsi jadinya pesan 1 puffy dan 1 kentang lidi. Puffynya enak seperti biasanya. Buat kentang lidinya enak, garing, porsi pas untuk harganya (Rp8.000). Pas order kentang lidi ditawarin 3 rasa, salah satunya BBQ. Rasa BBQnya kurang terasa tapi tetap cocok sama kentangnya.",4
,,3 tahun lalu,Rahajeng Anindyajati,Local Guide,157 ulasan,"Pas ke sini beberapa hari lalu, teh jasmine nya enak, manisnya pas tapi kadang esnya kurang banyak jadi kurang dingin. Solusinya kalau mau tehnya dingin, special request pas order minta esnya dibanyakin. Terakhir kali ke sini niatnya mau order 2 puffy, tapi sisa 1 porsi jadinya pesan 1 puffy dan 1 kentang lidi. Puffynya enak seperti biasanya. Buat kentang lidinya enak, garing, porsi pas untuk harganya (Rp8.000). Pas order kentang lidi ditawarin 3 rasa, salah satunya BBQ. Rasa BBQnya kurang terasa tapi tetap cocok sama kentangnya.",4
,,3 tahun lalu,Rahajeng Anindyajati,Local Guide,157 ulasan,"Pas ke sini beberapa hari lalu, teh jasmine nya enak, manisnya pas tapi kadang esnya kurang banyak jadi kurang dingin. Solusinya kalau mau tehnya dingin, special request pas order minta esnya dibanyakin. Terakhir kali ke sini niatnya mau order 2 puffy, tapi sisa 1 porsi jadinya pesan 1 puffy dan 1 kentang lidi. Puffynya enak seperti biasanya. Buat kentang lidinya enak, garing, porsi pas untuk harganya (Rp8.000). Pas order kentang lidi ditawarin 3 rasa, salah satunya BBQ. Rasa BBQnya kurang terasa tapi tetap cocok sama kentangnya.",4
,,3 tahun lalu,Rahajeng Anindyajati,Local Guide,157 ulasan,"Pas ke sini beberapa hari lalu, teh jasmine nya enak, manisnya pas tapi kadang esnya kurang banyak jadi kurang dingin. Solusinya kalau mau tehnya dingin, special request pas order minta esnya dibanyakin. Terakhir kali ke sini niatnya mau order 2 puffy, tapi sisa 1 porsi jadinya pesan 1 puffy dan 1 kentang lidi. Puffynya enak seperti biasanya. Buat kentang lidinya enak, garing, porsi pas untuk harganya (Rp8.000). Pas order kentang lidi ditawarin 3 rasa, salah satunya BBQ. Rasa BBQnya kurang terasa tapi tetap cocok sama kentangnya.",4
,,3 tahun lalu,Rahajeng Anindyajati,Local Guide,157 ulasan,"Pas ke sini beberapa hari lalu, teh jasmine nya enak, manisnya pas tapi kadang esnya kurang banyak jadi kurang dingin. Solusinya kalau mau tehnya dingin, special request pas order minta esnya dibanyakin. Terakhir kali ke sini niatnya mau order 2 puffy, tapi sisa 1 porsi jadinya pesan 1 puffy dan 1 kentang lidi. Puffynya enak seperti biasanya. Buat kentang lidinya enak, garing, porsi pas untuk harganya (Rp8.000). Pas order kentang lidi ditawarin 3 rasa, salah satunya BBQ. Rasa BBQnya kurang terasa tapi tetap cocok sama kentangnya.",4
,,3 tahun lalu,Rahajeng Anindyajati,Local Guide,157 ulasan,"Pas ke sini beberapa hari lalu, teh jasmine nya enak, manisnya pas tapi kadang esnya kurang banyak jadi kurang dingin. Solusinya kalau mau tehnya dingin, special request pas order minta esnya dibanyakin. Terakhir kali ke sini niatnya mau order 2 puffy, tapi sisa 1 porsi jadinya pesan 1 puffy dan 1 kentang lidi. Puffynya enak seperti biasanya. Buat kentang lidinya enak, garing, porsi pas untuk harganya (Rp8.000). Pas order kentang lidi ditawarin 3 rasa, salah satunya BBQ. Rasa BBQnya kurang terasa tapi tetap cocok sama kentangnya.",4
,,3 tahun lalu,Rahajeng Anindyajati,Local Guide,157 ulasan,"Pas ke sini beberapa hari lalu, teh jasmine nya enak, manisnya pas tapi kadang esnya kurang banyak jadi kurang dingin. Solusinya kalau mau tehnya dingin, special request pas order minta esnya dibanyakin. Terakhir kali ke sini niatnya mau order 2 puffy, tapi sisa 1 porsi jadinya pesan 1 puffy dan 1 kentang lidi. Puffynya enak seperti biasanya. Buat kentang lidinya enak, garing, porsi pas untuk harganya (Rp8.000). Pas order kentang lidi ditawarin 3 rasa, salah satunya BBQ. Rasa BBQnya kurang terasa tapi tetap cocok sama kentangnya.",4
